date,time,age,confirmed
2020-05-21,0,70s,717
2020-05-21,0,80s,490
2020-05-22,0,0s,149
2020-05-22,0,10s,633
2020-05-22,0,20s,3111
2020-05-22,0,30s,1225
2020-05-22,0,40s,1473
2020-05-22,0,50s,1974
2020-05-22,0,60s,1369
2020-05-22,0,70s,718
2020-05-22,0,80s,490
2020-05-23,0,0s,149
2020-05-23,0,10s,634
2020-05-23,0,20s,3113
2020-05-23,0,30s,1231
2020-05-23,0,40s,1474
2020-05-23,0,50s,1983
2020-05-23,0,60s,1372
2020-05-23,0,70s,718
2020-05-23,0,80s,491
2020-05-24,0,0s,149
2020-05-24,0,10s,636
2020-05-24,0,20s,3117
2020-05-24,0,30s,1235
2020-05-24,0,40s,1481
2020-05-24,0,50s,1987
2020-05-24,0,60s,1375
2020-05-24,0,70s,719
2020-05-24,0,80s,491
2020-05-25,0,0s,149
2020-05-25,0,10s,637
2020-05-25,0,20s,3120
2020-05-25,0,30s,1238
2020-05-25,0,40s,1483
2020-05-25,0,50s,1992
2020-05-25,0,60s,1377
2020-05-25,0,70s,719
2020-05-25,0,80s,491
2020-05-26,0,0s,150
2020-05-26,0,10s,638
2020-05-26,0,20s,3123
2020-05-26,0,30s,1242
2020-05-26,0,40s,1486
2020-05-26,0,50s,1996
2020-05-26,0,60s,1378
2020-05-26,0,70s,721
2020-05-26,0,80s,491
2020-05-27,0,0s,153
2020-05-27,0,10s,640
2020-05-27,0,20s,3131
2020-05-27,0,30s,1248
2020-05-27,0,40s,1489
2020-05-27,0,50s,2002
2020-05-27,0,60s,1386
2020-05-27,0,70s,724
2020-05-27,0,80s,492
2020-05-28,0,0s,155
2020-05-28,0,10s,644
2020-05-28,0,20s,3146
2020-05-28,0,30s,1274
2020-05-28,0,40s,1503
2020-05-28,0,50s,2014
2020-05-28,0,60s,1392
2020-05-28,0,70s,724
2020-05-28,0,80s,492
2020-05-29,0,0s,156
2020-05-29,0,10s,650
2020-05-29,0,20s,3158
2020-05-29,0,30s,1283
2020-05-29,0,40s,1513
2020-05-29,0,50s,2023
2020-05-29,0,60s,1400
2020-05-29,0,70s,724
2020-05-29,0,80s,495
2020-05-30,0,0s,157
2020-05-30,0,10s,655
2020-05-30,0,20s,3167
2020-05-30,0,30s,1285
2020-05-30,0,40s,1517
2020-05-30,0,50s,2033
2020-05-30,0,60s,1404
2020-05-30,0,70s,725
2020-05-30,0,80s,498
2020-05-31,0,0s,157
2020-05-31,0,10s,655
2020-05-31,0,20s,3176
2020-05-31,0,30s,1292
2020-05-31,0,40s,1521
2020-05-31,0,50s,2039
2020-05-31,0,60s,1405
2020-05-31,0,70s,725
2020-05-31,0,80s,498
